segment_id,road_name,corridor,mean_elevation_m,elev_range_m,mean_slope_deg,max_slope_deg,terrain_roughness,mean_curvature,stream_proximity_pct,mean_disp_mm,max_disp_mm,mean_coherence,rock_class,AADT_2022,truck_pct,truck_AADT,std_disp_mm,low_coh_pct,rock_risk_score,geology_enc,landcover_enc,known_unstable,rf_prob,risk_score,risk_category
1052,I-75,I-75,376.2,117.1,8.21,19.81,25.75,0.018,10.5,-5.63,-11.26,0.616,carbonate,35883,24.6,8827,1.69,38.4,2,0,2,1,0.7569364910165096,0.4849,Moderate
1053,I-75,I-75,355.5,110.8,5.63,13.05,19.45,-0.0011,10.9,-4.17,-8.34,0.597,carbonate,35670,18.8,6705,1.25,40.3,2,0,2,0,0.0033333333333333335,0.1782,Low
1054,I-75,I-75,351.4,128.7,5.91,18.51,19.65,-0.0182,10.9,-3.74,-7.48,0.706,carbonate,37827,22.4,8473,1.12,29.4,2,0,2,0,0.008925213675213674,0.1775,Low
1055,I-75,I-75,385.4,149.9,7.39,13.2,22.67,-0.0,10.9,-7.39,-14.78,0.557,carbonate,38681,22.5,8703,2.22,44.3,2,0,2,1,0.8403960763183775,0.5386,High
1056,I-75,I-75,384.2,131.9,7.16,15.98,22.16,0.0091,10.5,-5.61,-11.22,0.556,carbonate,38756,23.6,9146,1.68,44.4,2,0,2,1,0.8273404446746513,0.5081,High
1057,I-75,I-75,352.6,122.7,6.37,15.98,20.97,0.003,10.5,-2.54,-5.08,0.663,carbonate,36325,19.5,7083,0.76,33.7,2,0,2,0,0.0002083333333333333,0.1619,Low
1058,I-75,I-75,347.4,129.0,6.99,15.56,22.49,0.0085,10.8,-5.11,-10.22,0.638,carbonate,37345,19.4,7244,1.53,36.2,2,0,2,0,0.15545305695721295,0.2566,Moderate
1059,I-75,I-75,365.4,129.0,6.84,15.56,21.36,0.0092,10.4,-4.13,-8.26,0.635,carbonate,38530,23.0,8861,1.24,36.5,2,0,2,0,0.048721635433932056,0.2089,Low
1060,I-75,I-75,355.7,129.2,6.05,15.1,19.2,-0.0141,10.6,-5.26,-10.52,0.647,carbonate,39721,22.6,8976,1.58,35.3,2,0,2,0,0.016805555555555553,0.2052,Low
1061,I-75,I-75,332.0,135.8,8.26,20.7,27.32,-0.0012,10.9,-4.92,-9.84,0.583,carbonate,37764,22.5,8496,1.48,41.7,2,0,2,1,0.8679045683200313,0.5231,High
1062,I-75,I-75,321.0,136.0,7.7,20.7,24.82,0.0097,10.5,-5.25,-10.5,0.558,carbonate,38429,22.7,8723,1.58,44.2,2,0,2,1,0.934967805858013,0.5471,High
1063,I-75,I-75,312.0,78.4,4.58,12.63,14.37,0.0016,10.8,-3.65,-7.3,0.661,carbonate,37273,20.6,7678,1.1,33.9,2,0,2,0,0.0,0.1527,Low
1064,I-75,I-75,323.6,71.9,3.89,9.85,13.07,0.0032,10.9,-3.64,-7.28,0.642,carbonate,37362,22.5,8406,1.09,35.8,2,0,2,0,0.0,0.1486,Low
