segment_id,cluster,risk_category_unsup,risk_score_unsup,pca1,pca2
145,0,Moderate,0.5274,2.4016152715674055,0.5879515888952836
146,0,Moderate,0.5302,2.1166076246121626,0.5429690437448855
147,0,Moderate,0.5164,2.1772374492146773,0.4605914950625439
148,0,Moderate,0.5437,2.261356977505575,1.1442905448008152
149,0,Moderate,0.5839,2.6668382652437326,2.8913699090609963
150,1,Low,0.4444,-0.03673528287003449,-1.5574980752413818
151,1,Low,0.4331,0.4991944943450161,-1.8697357136099424
152,1,Low,0.4226,0.6566664746167055,-2.2317046778471363
153,1,Low,0.4425,-0.17673348825444926,-1.6025246930516512
154,1,Low,0.4519,-0.11343752269823745,-1.2864177600253512
155,1,Low,0.4398,0.3322276175656149,-1.8684056696873608
156,1,Low,0.4266,0.2846747201914865,-2.0440556943179318
157,1,Low,0.4349,0.5375001421894673,-2.1592774035321303
158,1,Low,0.4369,-0.0020842646152942038,-1.6735255990369728
159,1,Low,0.4215,0.0015163314372398616,-1.7507659473588788
160,1,Low,0.4285,0.5979314152950204,-2.0129134616486297
161,1,Low,0.4171,0.9218762257200015,-2.2362475739062737
162,1,Low,0.4156,0.7967109926655332,-2.525317741275539
163,1,Low,0.4187,0.9920910789833123,-2.4437956382675683
164,1,Low,0.4139,0.698304178928769,-2.356688158929999
165,1,Low,0.4266,0.6480555208631108,-2.2500955906142166
166,1,Low,0.4185,0.6922197337188114,-2.3415824911854424
167,1,Low,0.4195,0.6642276124761951,-2.3407349149256698
168,1,Low,0.4275,0.7099570748334331,-2.263778653361126
169,1,Low,0.4211,0.4987117976367501,-2.2041921016922847
170,1,Low,0.4217,0.46039578356980065,-2.001669148957041
171,1,Low,0.4224,0.30189840497443426,-1.890572260924301
172,1,Low,0.432,0.059245469417771854,-1.7127127030075475
173,1,Low,0.4383,-0.08515988879751728,-1.6327545636226766
174,1,Low,0.43,0.25148405672832275,-1.9368252409624813
175,1,Low,0.4382,0.13336024045194037,-1.6577243297317699
176,1,Low,0.4536,-0.11829004600907865,-1.461802805455039
177,1,Low,0.4518,-0.4028966596087711,-1.3686528884964493
178,1,Low,0.4432,0.2238466625892449,-1.8112015870084717
179,1,Low,0.4193,0.5972413802410372,-2.1014165839336787
180,1,Low,0.4285,0.488275461722343,-2.2465899553039113
